round,period,method,total,blue_hits,full_hits,best_weights
23,2025138,ziwei,1000,30,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
23,2025138,ai_fusion,1000,29,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
23,2025138,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
24,2025139,xiaoliuyao,1000,101,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
24,2025139,xiaoliuren,1000,95,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
24,2025139,qimen,1000,69,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
24,2025139,ziwei,1000,102,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
24,2025139,ai_fusion,1000,90,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
24,2025139,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
25,2025140,xiaoliuyao,1000,33,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
25,2025140,xiaoliuren,1000,36,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
25,2025140,qimen,1000,59,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
25,2025140,ziwei,1000,26,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
25,2025140,ai_fusion,1000,33,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
25,2025140,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
